Time[GMT],current_u[cm/s](10m),current_v[cm/s](10m),current_u[cm/s](14m),current_v[cm/s](14m),current_u[cm/s](18m),current_v[cm/s](18m),current_u[cm/s](22m),current_v[cm/s](22m),current_u[cm/s](26m),current_v[cm/s](26m),current_u[cm/s](30m),current_v[cm/s](30m),current_u[cm/s](34m),current_v[cm/s](34m),current_u[cm/s](38m),current_v[cm/s](38m),current_u[cm/s](42m),current_v[cm/s](42m),current_u[cm/s](46m),current_v[cm/s](46m),current_u[cm/s](50m),current_v[cm/s](50m),current_u[cm/s](54m),current_v[cm/s](54m),current_u[cm/s](58m),current_v[cm/s](58m),current_u[cm/s](62m),current_v[cm/s](62m)
2013/11/1 10:00,12.14,-0.37,11.93,-0.01,10.81,-0.14,10.53,-0.23,7.71,-0.26,4.2,0.97,0.58,2.9,-1.14,5.09,1.84,5.27,3.59,7.06,2.46,9.74,0.25,11.16,-0.98,9.01,-1.29,6.61
2013/11/1 11:00,8.88,1.04,7.21,1.37,7.45,0.6,5.84,0.74,5.21,1.07,2.96,1.95,-0.76,4.89,-2.29,8.19,-2.4,8.89,-0.93,9.54,-1.25,11.96,-3.41,12.87,-5.13,9.93,-5.6,6.34
2013/11/1 12:00,7.76,-5.89,7.29,-4.36,6.83,-2.51,4.77,-2.93,1.77,-2.39,-0.4,-2.11,0.15,0.88,1.43,2.84,2.21,4.75,0.63,7.51,-0.76,8.65,-2.23,8.31,-4.69,6.1,-6.02,4.64
2013/11/1 13:00,2.77,-7,3.43,-8.47,2.34,-6.29,0.36,-5.64,-1.04,-4.81,-5.22,-2.75,-6.5,-0.63,-5.93,-0.45,-6.21,-0.54,-6.7,1.4,-6.19,2.81,-6.64,2.57,-7.6,2.28,-10.04,0.69
2013/11/1 14:00,12.16,-6.95,10.75,-7.8,8.37,-7.9,6.75,-9.75,5.88,-11.69,4.99,-11.54,1.19,-10.72,-3.14,-10.27,-6.02,-9.05,-5.22,-7.56,-3.77,-5.44,-4.57,-5.58,-6.84,-6.69,-8.61,-6.71
2013/11/1 15:00,4.13,-8.04,4.83,-7.93,3.58,-7.27,1.36,-7.53,-1.65,-8.97,-4.25,-9.35,-9.63,-9.22,-12.17,-8.43,-11.5,-8.22,-8.65,-7.98,-7.42,-7.18,-9.67,-7.35,-12.29,-8.04,-15.01,-8.04
2013/11/1 16:00,16.24,2.98,17.7,1.96,17.57,1.71,16.02,1.65,13.24,0.81,9.77,-0.15,6.91,1.69,5.46,4.39,5.69,3.62,6.54,2.21,5.82,1.15,4.52,1.28,3.64,2.47,1.12,2.85
2013/11/1 17:00,20.28,-4.78,21.68,-7.28,22.82,-6.93,23.85,-5.15,23.52,-4.42,21.81,-4.63,16.68,-7.03,11.85,-7.98,8.69,-6.54,8.18,-6.91,7.61,-8.13,5.69,-7.67,2.28,-7.46,1.11,-8.76
2013/11/1 18:00,20.63,-2.16,21.9,-3.55,20.12,-3.89,20.96,-4.26,20.56,-5.01,18.81,-4.39,17.22,-6.03,14.35,-6.59,9.52,-6.5,6.71,-7.25,5.82,-7.42,4.75,-7.33,2.79,-7.41,1.42,-9.08
2013/11/1 19:00,24.79,0.68,25.68,-0.2,24.09,0.57,24.68,0.33,23.75,-0.37,21.62,-0.6,19.42,-1.28,15.92,1.63,13.86,1.52,8.83,0.19,4.6,0.68,3.72,1.87,3.38,3.65,3.22,2.13
2013/11/1 20:00,30.04,-2.84,28.92,-3.29,27.51,-2.78,25.62,-2.73,23.76,-3.51,20.37,-4.02,16.47,-4.27,13.36,-1.98,10.67,1.69,9.08,3.82,7.53,5.13,6.88,5.87,7.89,5.65,10.28,3.67
2013/11/1 21:00,25.8,2.14,26.44,1.08,25.79,0.46,25.71,1.06,23.5,-0.24,20.34,-1.21,15.44,-1.24,8.62,0.54,3.73,2.5,0.1,5.15,-0.86,5.91,1.3,5.31,3.49,5.35,5.7,2.89
2013/11/1 22:00,13.85,2.25,14.79,0.86,18.72,2.38,21.96,1.38,22.09,1.63,19.55,1.38,16.47,0.85,11.2,3.74,6.85,9.41,3.83,12.78,2.38,12.75,3.11,10.36,4.56,7.67,4.95,5.7
2013/11/1 23:00,22.67,-0.28,22.56,-0.94,20.25,-1.23,17.9,-1.43,15.4,-1.46,11.97,-0.84,7.98,0.24,5.08,5.63,2.66,11.48,0.36,14.54,-1.28,15.82,-1.24,16.04,-0.77,13.46,0.04,10.47
2013/11/2 0:00,20.41,-5.89,18.74,-6.92,18.04,-7.35,17.25,-7.17,15.3,-7.98,13.35,-7.74,9.79,-9.45,5.68,-5.58,2.68,-0.54,-0.72,5.43,-2.45,8.35,-2.79,7.41,-2.49,5.41,-2.29,4.42
2013/11/2 1:00,18.55,-8.34,16.64,-7.57,15.74,-6.69,15.12,-7.72,13.81,-8.22,10.88,-7.55,8.96,-6.04,6.07,-1.39,8.04,4.13,8.53,9.72,8.1,11.47,6.84,10.46,5.54,7.86,7.98,9.13
2013/11/2 2:00,10.03,-8.86,8.24,-9.51,7.93,-8.14,5.74,-6.82,4.02,-7.34,0.56,-6.63,-2.18,-3.8,-2.69,1.27,-0.65,5.55,0.67,7.73,2.63,9.17,2.36,9.72,1.12,7.98,-0.62,5.46
2013/11/2 3:00,15.81,-6.56,15.82,-7.29,14.19,-8.11,12.14,-8.94,10.79,-7.58,9.58,-6.69,7.95,-3.43,9.22,1.67,15.23,8.32,18.3,11.97,17.68,12.62,15.1,12.88,13.13,10.39,10.97,6.18
2013/11/2 4:00,15.94,-11.44,16.19,-12.93,15.26,-12.28,13.46,-11.88,10.53,-10.16,8.92,-6.27,11.83,-3.81,16.94,-1.72,22.6,-1.77,22.07,1,18.45,2.92,16.5,3.16,14.18,0.47,12.29,-1.89
2013/11/2 5:00,19.07,-15.19,17.22,-13.56,15.21,-10.41,12.68,-7.62,9.27,-6.05,9.1,-4.12,14.89,-4.23,19.26,-6.56,21.64,-6.14,21.25,-4.17,19.43,-3.37,17.35,-3.38,15.84,-5.3,12.34,-6.16
2013/11/2 6:00,14.55,-11.34,14.73,-11.6,14.11,-9.91,11.29,-7.53,8.62,-4.58,6.57,-0.29,5.49,0.84,8.55,-2.3,12.05,-6.25,14.39,-5.33,15.92,-4.86,14.96,-3.79,9.82,-6.83,5.77,-8.27
2013/11/2 7:00,13.35,-14.95,12.3,-14.23,11.56,-13.51,10.77,-9.57,9.94,-4.8,10.42,-0.58,12.52,-0.25,13.91,-5.47,15.98,-8.5,17.72,-10.06,19.41,-9.44,19.74,-8.81,17.73,-8.07,14.9,-7.68
2013/11/2 8:00,12.06,-7.29,11.53,-6.93,10.75,-5.39,9.85,-3.47,10.51,0.18,12.94,6.57,16.24,6.74,17.68,1.33,16.19,-2.68,19.05,-2.12,18.75,-2.84,14.06,-3.23,9.75,-0.78,6.99,1.09
2013/11/2 9:00,13.95,-1.17,14.48,-0.17,14.48,0.87,14.15,1.61,13.62,3.33,15.77,5.87,20.9,8.59,23.56,7.41,21.49,1.87,24.98,-0.31,26.4,-1.86,21.64,-1.02,17.25,1.72,16.99,1.54
2013/11/2 10:00,13.23,0.49,13.61,0.29,13.14,0.46,13.46,0.77,15.01,0.51,17.27,2.35,21.8,6.35,23.94,7.53,20.75,3.62,23.12,1.32,24.52,-1.18,21.78,-0.77,19.65,-1,20.08,-1.39
2013/11/2 11:00,5.86,6.5,5.72,5.93,4.84,5.03,5.56,4.73,7.93,4.83,8.45,7.92,9.63,9.22,5.44,7.52,3,5.94,5.79,3.97,7.53,2.41,6.16,1.05,5.54,1.38,6.86,1.16
2013/11/2 12:00,7.87,3.66,8.93,2.94,9.1,3.41,10.13,5.5,11.86,6.03,13.57,5.2,11.37,4.21,6.88,4.51,4.23,3.28,3.35,1.34,2.26,0.48,4.47,0.43,7.3,-0.28,6.92,-1.75
2013/11/2 13:00,5.22,2.75,5.83,2.83,6.26,2.44,6.31,2.97,7.95,2.74,10.77,1.72,10.28,1.26,5.13,2.72,1.56,6.54,0.66,7.42,2.08,5.86,3.41,3.55,5.06,1.23,6.15,0.42
2013/11/2 14:00,3.73,11.07,3.78,10.57,3.65,10.63,4.75,10.45,7.72,9.99,8.64,7.66,7.15,2.6,4.3,1.32,2.41,6.49,0.12,7.46,-0.12,6.55,0.64,5.42,0.95,3.74,0.36,2.93
2013/11/2 15:00,7.68,2.24,7.61,2.12,7.66,2.66,8.19,2.61,10.19,2.59,9.77,1.21,6.23,-0.19,1.79,0.65,-0.54,1.09,-1.26,0.35,0.09,-0.29,2.97,-0.14,4.67,-1.6,5.78,-2.83
2013/11/2 16:00,4.05,-2.32,3.51,-2.59,3.41,-3.98,3.27,-5.9,2.8,-6.78,2.23,-6.95,-1.66,-6.89,-5.54,-3.78,-7.11,-2.07,-5.22,-2.43,-3.04,-5.11,1.92,-6.63,4.51,-8.24,2.42,-10.66
2013/11/2 17:00,11.05,-1.95,11.24,-2.21,9.74,-2.77,9.59,-3.66,9.47,-5.68,8.12,-7.76,5.56,-10.33,2.41,-4.81,1.58,-3.8,0.62,-4.1,-0.96,-4.06,-0.76,-1.28,1.16,-2.78,2.39,-5.75
2013/11/2 18:00,10.15,-5.16,9.62,-7.52,8.73,-10.09,8.15,-11.62,7.52,-14.33,7.7,-17.31,7.5,-20.08,6.15,-18.41,4.22,-12.09,2.8,-8.14,0.72,-6.79,2.23,-5.59,3.93,-8.42,3.14,-13.36
2013/11/2 19:00,7.85,-4.82,7.74,-7.88,7.76,-11.01,6.39,-13.73,5.18,-15.57,3.08,-17.25,1.26,-19.17,0.48,-17.32,1.13,-11.57,1.05,-7.21,0.64,-3.46,0.37,-2.92,1.29,-4.21,2.71,-4.4
2013/11/2 20:00,12.73,-4.37,11.02,-8.34,10.35,-9.91,9.22,-10.67,6,-11.76,3.76,-12.97,1.8,-12.73,4.25,-9.79,8.25,-5.11,9.1,-0.35,9.56,1.56,10.04,3.07,10.09,3.92,9.94,1.68
2013/11/2 21:00,19.98,-6.86,18.51,-4.8,18.21,-4.16,15.03,-4.71,11.65,-7.31,9.12,-8.29,6.52,-8.67,4.97,-7.37,5.09,-5.35,11.77,-3.62,16.45,1.26,15.96,5.93,12.86,6.86,10.12,3.83
2013/11/2 22:00,17.25,-4.77,15.08,-4.17,14.28,-0.55,12.98,1.67,9.87,1.24,6.6,-0.39,4.51,-0.4,2.83,0.66,4.87,-0.19,10.07,0.25,12.56,4.05,11.36,6.61,9.04,6.01,5.56,3.37
2013/11/2 23:00,12.5,-2.24,12.05,-2.8,9.88,-0.85,7.48,0.51,5.5,2.2,3.17,2.64,0.43,4.73,-0.26,4.94,2.18,3.49,4.84,1.27,7.37,0.16,9.95,2,8.59,3.36,5.32,3.82
2013/11/3 0:00,8.64,2.54,6.13,-0.22,4.58,-1.63,4,0.6,2.94,3.72,1.19,4.65,0.36,5.65,-1.61,6.3,0.23,5.4,4.43,3.65,5.69,6.03,4.52,7.45,0.61,6.56,-2.84,5.51
2013/11/3 1:00,5.2,-0.92,2.55,-2.88,0.43,-4.15,-0.36,-1.89,-1.8,-0.97,-3.93,-0.15,-5.56,2.8,-4.48,3.02,-4.3,-1.32,-3.83,-1.17,0.67,-0.84,3.23,2.77,1.41,3.25,-1.78,3.43
2013/11/3 2:00,3.65,-4.74,0.86,-6.22,0.03,-6.26,-0.53,-3.4,-1.58,-1,-3.36,2.42,-3.26,6.22,-2.06,3.66,-5.72,-2.48,-7.36,-6.02,-5.79,-7.73,-0.97,-5.73,2.84,-2.79,0.41,-1.34
2013/11/3 3:00,0.58,-15.93,0.43,-12,-0.85,-11.24,-1.8,-9.86,-3.1,-5.24,-3.78,-0.63,-5.38,-0.18,-8.84,-4.27,-11.7,-7.55,-11.12,-9.46,-5.61,-10.39,-4.17,-11,-4.64,-11.14,-3.45,-7.85
2013/11/3 4:00,-2.27,-21.3,-0.68,-16.94,-0.34,-14.64,-0.21,-11.98,-0.45,-6.41,-0.78,-1.91,-1.44,-2.11,-5.02,-4.78,-6.88,-8.27,-5.83,-11.72,-6.74,-11.47,-7.47,-10.44,-7.16,-9.09,-5.33,-8.22
2013/11/3 5:00,-0.94,-26.33,1.03,-22.17,4.57,-15.96,6.21,-11.07,5.89,-10.02,5.61,-9.47,5.7,-8.4,4.63,-7.26,1.99,-7.55,0.11,-9.59,-0.09,-11.01,0.63,-10.26,1.71,-7.63,3.34,-6.82
2013/11/3 6:00,-8.56,-26.04,-5.66,-22.54,-1.33,-18.91,2.69,-14.97,4.71,-12.68,5.81,-10.46,7.16,-8.37,5.94,-9.16,2.36,-10.78,-0.43,-11.95,-0.03,-12.56,2.82,-12.31,1.84,-12.51,0.24,-14.46
2013/11/3 7:00,-6.58,-18.85,-3.58,-17.72,0.8,-15.96,4.69,-13.62,8.32,-11.15,10.2,-8.39,10.98,-8.56,7.86,-9.62,3.55,-9.9,-0.68,-9.41,-0.39,-11.73,1.17,-12.71,1.23,-12.91,1.67,-11.62
2013/11/3 8:00,-3.35,-16.4,-1.75,-14.13,2.78,-10.45,9.02,-8.64,15.1,-5.95,18.74,-3.16,15.57,-4.76,10.05,-5.5,9.05,-3.61,8.02,-0.58,6.64,-0.17,7.25,-1.13,6.93,-3.84,7.24,-5.21
2013/11/3 9:00,-6.79,-14.73,-5.21,-12.36,-1.72,-10.46,3.43,-8.47,7.8,-7.03,11.58,-6.08,13.96,-7.34,10.34,-7.82,8.57,-6.48,8.72,-4.24,6.63,-2.89,7.57,-3.23,7.62,-5.09,6.96,-7.7
2013/11/3 10:00,-1.71,-5.02,-0.02,-5.76,1.62,-8.39,3.53,-6.76,7.1,-6.82,9.43,-7.26,8.6,-7.93,6.71,-7.57,5.43,-5.45,6.64,-3.93,5.37,-1.49,5.2,-1.97,5.73,-2.33,5.19,-2.6
2013/11/3 11:00,-4.13,-4.61,-2.72,-6.16,-2.16,-5.58,-0.83,-5.48,0.36,-5.64,2.06,-6.06,0.93,-7.14,0.11,-5.82,2.81,-4.06,5.49,-0.52,7.86,0.63,9.26,-0.52,8.59,-3.13,6.44,-4.31
2013/11/3 12:00,1.53,1.83,0.15,2.24,0.29,1.45,0.7,1.47,0.58,1.54,2.36,2.19,5.74,0.71,6.05,1.43,6.31,3.29,7.59,6.29,7.34,7.47,8.22,6.28,8.77,4.15,8.81,3.01
2013/11/3 13:00,-1.11,-3.89,-2.47,-3.89,-1.31,-2.91,-1.25,-2.06,-0.67,-2.92,1.91,-4.54,3.4,-4.29,1.31,-3.26,2.81,-2.7,4.69,-0.97,5.76,-0.02,6.21,-0.82,5.86,-2.39,5.69,-2.55
2013/11/3 14:00,-16.23,-4.02,-16.49,-4.21,-16.3,-4.15,-16.27,-4.24,-15.25,-3.83,-13.79,-5.16,-15.01,-6.99,-14.77,-7.44,-14.09,-7.97,-12.14,-8.52,-10.32,-9.33,-11.51,-9.9,-13.13,-10.39,-13.96,-9.39
2013/11/3 15:00,-0.38,-3.88,-0.92,-3.84,-1.95,-3.21,-2.44,-1.58,-2.41,-0.32,-2.75,0.1,-3.16,0.08,-5.07,-0.19,-6.71,-1.32,-5.8,-2.92,-5.68,-4.67,-6.45,-6.26,-6.55,-7.65,-5.74,-8.24
2013/11/3 16:00,-3.44,-9.63,-3.12,-9.63,-2.81,-9.96,-2.55,-9.77,-2.25,-10.41,-1.42,-11.1,-5.08,-12.11,-9.81,-12.72,-9.47,-10.74,-8.82,-12.53,-8.24,-13.4,-7.05,-13.87,-4.84,-14.97,-6.62,-15.62
2013/11/3 17:00,3.47,-7.93,3.32,-8.81,2.61,-9.56,1.93,-10.08,1.22,-9.46,-0.51,-10.3,-3.73,-11.39,-5.19,-10.06,-3.57,-7.47,-2,-7.83,-1.19,-8.42,-1.67,-9.92,-3.06,-12.23,-4.98,-15.85
2013/11/3 18:00,4.63,-13.43,3.39,-13.5,3.42,-12.55,-0.18,-13.44,-2.64,-14.61,-5.34,-12.3,-5.84,-9.63,-3.9,-11.86,-0.96,-12.95,1.6,-12.06,1.22,-11.86,-1.12,-13.1,-3.54,-13.73,-5.4,-14.83
2013/11/3 19:00,8.26,-17.45,7.07,-16.97,4.62,-16.15,2.65,-14.14,0.63,-11.31,-1.55,-8.94,-3.34,-6.88,-1.02,-8.99,3.9,-15.85,5.94,-16.69,4.96,-15.21,4.06,-13.61,3.8,-12.43,1.23,-12.91
2013/11/3 20:00,1.91,-6.94,2.44,-6.26,1.99,-6.5,1.71,-6.27,0.18,-4.34,-1.17,-2.66,-2.28,-2.79,-3.51,-7.35,-4.16,-9.64,-0.96,-11.9,1.43,-12.21,2.75,-10.35,4.62,-7.58,5.64,-4.76
2013/11/3 21:00,6.45,-2.63,6.89,-2.7,7.63,-2.37,8.63,-1.54,8.8,-1.07,8.58,-1.04,6.69,0.69,4.85,0.54,5.96,0.67,9.55,-1.47,13.43,-2.9,15.24,-2.66,14.71,-1.25,14.35,0.62
2013/11/3 22:00,-0.08,-0.76,-0.01,-1.68,0.77,-2.17,0.3,-2,1.72,-1.88,1.68,-0.01,0.4,0.75,-1.1,1.55,-0.07,2.28,2.52,0.66,4.52,-1.44,5.89,-1.13,6.19,-0.41,5.45,-0.74
2013/11/3 23:00,-1.3,-1.55,-1.03,-0.73,-0.34,-2.3,0.67,-2.2,0.82,-1.32,0.73,-1.03,-0.21,0.35,-0.45,3.52,0.03,6.07,0.85,5.07,1.68,2.71,4,1.64,6.42,1.23,7.09,1.44
2013/11/4 0:00,-3.66,-7.18,-4.58,-7.26,-2.44,-6.39,-1.55,-3.82,0.25,-2.54,-0.33,-1.98,-1.16,-2.03,-0.51,-0.05,-1.28,3.16,-1.12,4.36,0.18,4.55,4.17,4.83,6.18,6.8,7.06,9.06
2013/11/4 1:00,-4.86,0.5,-5.93,-0.45,-6.34,0.89,-7.34,2.46,-7.26,3.22,-6.7,2.76,-6.28,3.1,-4.81,4.8,-3.54,7.81,-4.57,10.84,-3.91,11.77,-2.65,10.38,-4.6,8.21,-6.11,8.69
2013/11/4 2:00,-8.79,-3.73,-9.33,-3.69,-9.42,-3.4,-9.59,-2.83,-9.85,-1.65,-9.65,-1.28,-9.29,0.3,-7.81,3.99,-5.42,7.13,-3.06,9,-1.95,9.44,-1.33,8.8,-0.96,8.6,-1.2,9.05
2013/11/4 3:00,-15.99,-14.4,-15.19,-15.31,-14.07,-14.86,-13.46,-13.42,-12.83,-12.08,-11.73,-11.22,-8.86,-8.98,-6.05,-4.15,-2.73,1.05,-2.1,2.08,-2.79,-0.44,-4.84,-2.63,-6.9,-3.78,-7.31,-5.16
2013/11/4 4:00,-16.08,-13.07,-16.1,-12.66,-16.21,-13.01,-16.04,-12.54,-15.7,-11.91,-14.7,-12.13,-12,-10.68,-7.71,-8.32,-7.05,-6.34,-8.46,-6.87,-8.73,-7.37,-8.52,-8.04,-8.36,-9.25,-7.07,-9.38
2013/11/4 5:00,-11.99,-17.57,-11.79,-17.2,-11.82,-17.1,-12.35,-17.06,-13.06,-16.12,-13.37,-14.75,-13.46,-14.47,-10.49,-13.24,-6.41,-10.85,-1.31,-8.03,0.04,-7.31,-0.59,-7.29,-0.96,-7.82,-1.57,-8.53
2013/11/4 6:00,-13.73,-16.64,-13.18,-17.1,-13.39,-16.75,-12.91,-17.64,-12.77,-17.39,-12.82,-16.89,-12.91,-16.6,-11.89,-14.82,-10.18,-13.57,-5.89,-10.48,-1.52,-6.32,-0.92,-3.84,-1.39,-3.67,-2.55,-5.69
2013/11/4 7:00,-19.83,-18.93,-17.64,-18.57,-14.75,-19.46,-11.91,-21.94,-8.43,-24.43,-5.21,-27.42,-2.72,-27.71,-0.16,-25.46,4.37,-22.51,8.68,-19.83,8.22,-17.67,5.89,-17.23,4.75,-16.22,5.32,-15
2013/11/4 8:00,-22.85,-14.2,-22.32,-13.2,-20.11,-13.57,-18.03,-15.24,-15.28,-16.38,-13.04,-16.85,-10.58,-18.08,-7.39,-17.21,-3.28,-15.96,1.72,-12.13,3.18,-9.38,2.56,-7.69,2.76,-8.36,2.76,-8.67
2013/11/4 9:00,-14.88,-9.46,-14.55,-10.2,-12.98,-10.56,-12.4,-11.43,-13.59,-13.36,-13.88,-14.8,-12.75,-15.09,-10.45,-15.74,-6.33,-15.21,0.39,-13.58,6.54,-11.8,9.57,-9.41,8.16,-8.9,9.1,-9.24
2013/11/4 10:00,-15.42,-11.82,-14.87,-12.6,-14.29,-12.42,-13.73,-12.56,-12.54,-14.4,-12.89,-15.97,-13.28,-17.44,-12.78,-16.35,-8.68,-15.73,-1.96,-15.13,3.9,-14.81,7.37,-13.85,6.98,-12.92,7.27,-12.84
2013/11/4 11:00,-11.61,-5.12,-11.76,-4.96,-10.55,-5.84,-8.18,-8.15,-7.92,-10.68,-8.53,-12.12,-7.91,-11.41,-5.48,-10.46,-1.82,-11.85,2.01,-12.04,4.85,-12.11,5.85,-12.64,4.9,-12.93,4.59,-11.25
2013/11/4 12:00,-16.42,-8.89,-15.96,-8.33,-15.65,-8.65,-15.78,-9.95,-15.82,-11.53,-16.34,-13.26,-15.3,-12.21,-11.94,-10.55,-8.61,-10.48,-6.66,-13.12,-6.21,-15.6,-7.2,-15.79,-7.78,-12.52,-5.88,-11.21
2013/11/4 13:00,-12.58,1.8,-12.07,1.85,-11.15,1.92,-10.47,1.4,-11.12,-0.58,-12.15,-0.26,-11.12,1.83,-7.97,2.48,-5.89,2.17,-3.88,-0.98,-3.47,-2.32,-2.51,-3.07,0.42,-1.02,3.35,1.02
2013/11/4 14:00,-14.93,-5.19,-14.18,-4.23,-14.14,-2.65,-13.97,-2.18,-12.19,-1.85,-10.08,-1.93,-10.16,-1.33,-8.8,-1.65,-11.08,-1.72,-14.58,-3.62,-16.15,-5.67,-14.05,-6.7,-10.39,-5.69,-6.4,-4.05
2013/11/4 15:00,-19.7,-2.26,-19.91,-1.91,-18.67,-1.53,-17.33,-1.12,-16.72,-0.72,-14.24,-1.32,-12.53,-3.83,-12.38,-4.31,-14.91,-4.24,-16.35,-6.04,-18.09,-7.52,-18.46,-8.36,-18.25,-7.36,-16.2,-6.52
2013/11/4 16:00,-18.34,0.46,-18.48,-0.42,-17.76,-0.41,-17.61,-0.89,-17.21,-1.5,-17.28,-2.98,-16.35,-5,-13.18,-3.4,-13.92,-2.69,-14.12,-3.06,-15.39,-4.39,-15.92,-6.75,-18.45,-9.09,-18.7,-10.32
2013/11/4 17:00,-17.37,0.02,-15.72,0.11,-14.86,0.37,-14.84,1,-14.41,0.61,-10.76,-3.81,-7,-6.53,-6.8,-6.47,-9.38,-5.9,-9.52,-5.11,-8.94,-4.62,-9.24,-6.38,-10.57,-9.19,-12.36,-10.89
2013/11/4 18:00,-15.17,-4.43,-14.08,-6.61,-12.56,-7.81,-12.1,-8.3,-11.43,-9.46,-11.97,-10.77,-12.7,-11.83,-11.36,-10.38,-8.73,-8.73,-9.25,-10.46,-10.27,-9.83,-10.85,-10.01,-12.03,-10.58,-13.8,-11.64
2013/11/4 19:00,-11.85,-8.43,-11.13,-10.1,-10.42,-11.76,-9.95,-14.65,-11.41,-14.68,-12.02,-15.07,-9.03,-15.94,-4.9,-16.45,-2.71,-18.5,0.76,-21.62,1.45,-21.83,-2.16,-18.23,-4.91,-13,-6.71,-10.21
2013/11/4 20:00,-5.47,-7.42,-4.07,-5.85,-4.1,-4.39,-3.74,-5.22,-2.75,-7.43,-2.3,-8.55,-3.47,-6.08,-3.48,-5.04,-2.34,-6.36,-0.96,-7.82,1,-9.42,1.35,-10.57,1.09,-10.75,1.18,-11.04
2013/11/4 21:00,-8.65,-9.34,-8.77,-9.27,-7.53,-10.25,-3.98,-12.3,-1.34,-15.78,-1.41,-16.95,-4.76,-15.89,-6.72,-14.6,-3.97,-13.34,-4.57,-13.11,-6.09,-14.62,-5.17,-18.31,-1.97,-17.85,-1.81,-15.3
2013/11/4 22:00,-3.74,-2.82,-4.14,-3.57,-3.73,-3.54,-2.82,-4.1,-1.02,-5.54,1.04,-7.84,0.04,-9.71,-4.29,-8.53,-3.82,-7.34,-1.14,-7.56,-1.33,-8.98,0.45,-11.05,4.21,-8.65,3.23,-3.72
2013/11/4 23:00,-3.14,2.39,-3.26,2.45,-2.52,3.1,-2.83,3.11,-3.06,1.78,-2.18,-0.04,-3.02,2.01,-4.52,5.21,-4.93,5.18,-3.7,3.89,-1.89,2.77,0.16,1.2,3.08,1.57,5.64,3.09
